date,ticks_window1,ticks_window2
2017-05-08,0,474
2017-05-09,422,537
2017-05-10,0,329
2017-05-11,342,383
2017-05-12,559,395
2017-05-15,546,0
2017-05-16,339,467
2017-05-17,239,415
2017-05-19,382,0
2017-05-22,417,404
2017-05-23,141,477
2017-05-24,374,506
2017-05-25,504,290
2017-05-26,523,461
2017-05-29,489,558
2017-05-30,477,581
2017-05-31,546,504
2017-06-01,460,465
2017-06-02,474,288
2017-06-05,501,1
2017-06-06,495,450
2017-06-07,524,482
2017-06-08,364,422
2017-06-09,384,513
2017-06-12,508,0
2017-06-13,546,534
2017-06-14,372,322
2017-06-15,0,519
2017-06-16,453,458
2017-06-19,455,467
2017-06-20,516,437
2017-06-21,451,359
2017-06-22,338,492
2017-06-23,314,482
2017-06-26,540,411
2017-06-27,0,526
2017-06-28,466,312
2017-06-29,331,381
2017-06-30,373,0
2017-07-03,449,372
2017-07-04,344,292
2017-07-05,283,352
2017-07-06,123,328
2017-07-07,340,287
2017-07-10,303,236
2017-07-11,365,389
2017-07-12,473,469
2017-07-13,260,158
2017-07-14,364,343
2017-07-17,0,467
2017-07-18,435,457
2017-07-19,1,452
2017-07-20,495,493
2017-07-24,416,221
2017-07-25,445,448
2017-07-26,439,341
2017-07-27,401,421
2017-07-28,290,529
2017-07-31,468,465
2017-08-01,515,337
2017-08-02,552,502
2017-08-03,399,487
2017-08-04,571,507
2017-08-07,432,501
2017-08-08,515,428
2017-08-09,498,409
2017-08-10,407,349
2017-08-11,1,400
2017-08-14,400,371
2017-08-15,428,471
2017-08-17,471,392
2017-08-21,549,0
2017-08-22,0,306
2017-08-23,353,329
2017-08-24,250,435
2017-08-25,454,283
2017-08-28,462,418
2017-08-29,440,529
2017-08-30,437,445
2017-08-31,277,368
2017-09-04,336,497
2017-09-05,351,483
2017-09-06,352,540
2017-09-07,348,396
2017-09-08,335,158
2017-09-11,328,387
2017-09-12,309,355
2017-09-13,491,429
2017-09-14,303,525
2017-09-15,489,562
2017-09-18,402,475
2017-09-19,518,0
2017-09-20,399,458
2017-09-21,399,324
2017-09-22,0,474
2017-09-25,364,79
2017-09-26,476,312
2017-09-27,337,294
2017-09-28,393,357
2017-09-29,498,397
2017-10-02,227,382
2017-10-03,452,117
2017-10-04,350,188
2017-10-05,409,225
2017-10-06,521,250
2017-10-09,414,330
2017-10-10,512,405
2017-10-11,300,368
2017-10-12,434,468
2017-10-13,500,413
2017-10-16,507,495
2017-10-17,363,430
2017-10-18,327,540
2017-10-19,526,396
2017-10-20,476,379
2017-10-23,496,425
2017-10-24,548,532
2017-10-25,553,389
2017-10-26,374,448
2017-10-27,474,436
2017-10-30,431,347
2017-10-31,465,426
2017-11-01,388,454
2017-11-02,402,537
2017-11-03,469,519
2017-11-06,449,423
2017-11-07,556,422
2017-11-08,473,487
2017-11-09,536,466
2017-11-10,476,542
2017-11-13,536,547
2017-11-14,560,491
2017-11-15,420,544
2017-11-16,325,387
2017-11-17,485,432
2017-11-20,417,407
2017-11-21,499,445
2017-11-22,410,482
2017-11-23,392,474
2017-11-24,394,487
2017-11-27,442,393
2017-11-28,518,456
2017-11-29,591,508
2017-11-30,559,505
2017-12-01,500,419
2017-12-04,466,505
2017-12-05,416,347
2017-12-06,508,530
2017-12-07,417,340
2017-12-08,151,169
2017-12-11,529,455
2017-12-12,120,158
2017-12-13,400,282
2017-12-14,452,399
2017-12-15,147,149
2017-12-18,549,496
2017-12-19,526,511
2017-12-20,561,445
2017-12-21,468,572
2017-12-22,71,135
2017-12-25,82,90
2017-12-26,576,572
2017-12-27,578,447
2017-12-28,167,130
2017-12-29,529,199
2018-01-02,250,280
2018-01-03,295,360
2018-01-04,324,236
2018-01-05,287,354
2018-01-08,358,296
2018-01-09,249,297
2018-01-10,303,315
2018-01-11,205,288
2018-01-12,295,255
2018-01-15,328,258
2018-01-16,237,262
2018-01-17,314,262
2018-01-18,345,471
2018-01-19,401,404
2018-01-22,440,480
2018-01-23,496,537
2018-01-24,352,476
2018-01-25,400,377
2018-01-26,368,411
2018-01-29,323,501
2018-01-30,368,386
2018-01-31,350,369
2018-02-01,372,485
2018-02-02,447,421
2018-02-05,379,413
2018-02-06,559,498
2018-02-07,473,475
2018-02-08,399,427
2018-02-09,430,390
2018-02-12,400,458
2018-02-13,404,408
2018-02-14,418,507
2018-02-15,317,473
2018-02-16,308,389
2018-02-19,327,375
2018-02-20,406,459
2018-02-21,463,448
2018-02-22,318,313
2018-02-23,494,483
2018-02-26,457,414
2018-02-27,297,333
2018-02-28,251,443
2018-03-01,400,388
2018-03-02,357,356
2018-03-05,313,304
2018-03-06,280,370
2018-03-07,370,345
2018-03-08,404,387
2018-03-09,544,463
2018-03-12,383,375
2018-03-13,355,434
2018-03-14,340,431
2018-03-15,407,403
2018-03-16,311,331
2018-03-19,419,381
2018-03-20,292,313
2018-03-21,269,233
2018-03-22,285,452
2018-03-23,381,403
2018-03-26,204,457
2018-03-27,376,305
2018-03-28,346,299
2018-03-29,470,377
2018-03-30,552,442
2018-04-02,248,369
2018-04-03,410,347
2018-04-04,236,393
2018-04-05,432,255
2018-04-06,307,355
2018-04-09,282,324
2018-04-10,173,246
2018-04-11,191,252
2018-04-12,138,566
2018-04-13,268,379
2018-04-16,350,302
2018-04-17,287,330
2018-04-18,339,262
2018-04-19,258,345
2018-04-20,329,214
2018-04-23,338,322
2018-04-24,343,373
2018-04-25,417,471
2018-04-26,329,280
2018-04-27,323,300
2018-04-30,319,321
2018-05-01,362,294
2018-05-02,225,291
2018-05-03,345,238
2018-05-04,277,365
2018-05-07,283,298
2018-05-08,331,364
2018-05-09,211,289
2018-05-10,238,280
2018-05-11,231,430
2018-05-14,267,289
2018-05-15,233,251
2018-05-16,294,277
2018-05-17,304,290
2018-05-18,197,269
2018-05-21,179,181
2018-05-22,263,337
2018-05-23,253,384
2018-05-24,284,396
2018-05-25,277,246
2018-05-28,484,258
2018-05-29,193,434
2018-05-30,221,221
2018-05-31,314,414
2018-06-01,183,452
2018-06-04,431,407
2018-06-05,217,200
2018-06-06,147,185
2018-06-07,174,322
2018-06-08,331,320
2018-06-11,272,270
2018-06-12,200,344
2018-06-13,337,332
2018-06-14,259,333
2018-06-15,407,361
2018-06-18,257,251
2018-06-19,216,299
2018-06-20,319,182
2018-06-21,149,259
2018-06-22,125,269
2018-06-25,292,406
2018-06-26,273,375
2018-06-27,238,322
2018-06-28,279,294
2018-06-29,525,511
2018-07-02,339,328
2018-07-03,192,421
2018-07-04,154,239
2018-07-05,366,201
2018-07-06,273,339
2018-07-09,154,224
2018-07-10,379,331
2018-07-11,526,321
2018-07-12,221,300
2018-07-13,172,169
2018-07-16,130,347
2018-07-17,285,305
2018-07-18,351,268
2018-07-19,176,415
2018-07-20,301,376
2018-07-23,211,279
2018-07-24,472,488
2018-07-25,327,375
2018-07-26,123,274
2018-07-27,232,194
2018-07-30,58,261
2018-07-31,245,413
2018-08-01,404,195
2018-08-02,118,270
2018-08-03,292,206
2018-08-06,304,314
2018-08-07,176,179
2018-08-08,421,286
2018-08-09,209,178
2018-08-10,367,404
2018-08-13,406,237
2018-08-14,288,238
2018-08-15,152,366
2018-08-16,338,280
2018-08-17,361,337
2018-08-20,163,291
2018-08-21,293,153
2018-08-22,240,249
2018-08-23,252,268
2018-08-24,187,195
2018-08-27,121,247
2018-08-28,99,366
2018-08-29,114,350
2018-08-30,326,356
2018-08-31,243,225
2018-09-03,222,175
2018-09-04,111,267
2018-09-05,156,428
2018-09-06,433,333
2018-09-07,294,232
2018-09-10,154,181
2018-09-11,186,229
2018-09-12,139,256
2018-09-13,245,294
2018-09-14,207,134
2018-09-17,147,195
2018-09-18,156,296
2018-09-19,83,321
2018-09-20,98,286
2018-09-21,116,439
2018-09-24,128,331
2018-09-25,181,342
2018-09-26,214,313
2018-09-27,181,206
2018-09-28,181,308
2018-10-01,156,237
2018-10-02,81,58
2018-10-03,136,139
2018-10-04,69,111
2018-10-05,91,99
2018-10-08,82,71
2018-10-09,111,82
2018-10-10,91,125
2018-10-11,243,142
2018-10-12,182,128
2018-10-15,553,409
2018-10-16,145,32
2018-10-17,39,51
2018-10-18,40,66
2018-10-19,61,29
2018-10-22,17,12
2018-10-23,6,25
2018-10-24,40,30
2018-10-25,9,53
2018-10-26,43,48
2018-10-29,22,77
2018-10-30,12,23
2018-10-31,13,12
2018-11-01,16,3
2018-11-02,22,28
2018-11-05,32,308
2018-11-06,34,117
2018-11-07,31,18
2018-11-08,47,35
2018-11-09,23,62
2018-11-12,41,36
2018-11-13,39,91
2018-11-14,23,47
2018-11-15,123,223
2018-11-16,122,11
2018-11-19,269,197
2018-11-20,545,561
2018-11-21,524,496
2018-11-22,290,456
2018-11-23,547,408
2018-11-26,474,538
2018-11-27,508,499
2018-11-28,501,433
2018-11-29,474,531
2018-11-30,528,521
2018-12-03,345,414
2018-12-04,566,364
2018-12-05,363,510
