date,ticks_window1,ticks_window2
2003-05-05,27,165
2003-05-07,40,178
2003-05-08,19,152
2003-05-09,10,200
2003-05-12,36,301
2003-05-13,28,291
2003-05-14,37,292
2003-05-15,29,290
2003-05-16,26,220
2003-05-19,31,172
2003-05-20,18,160
2003-05-21,35,179
2003-05-22,22,144
2003-05-23,12,178
2003-05-26,0,191
2003-05-27,12,183
2003-05-28,0,193
2003-05-29,12,189
2003-05-30,17,126
2003-06-02,36,153
2003-06-03,18,130
2003-06-04,31,170
2003-06-05,24,134
2003-06-06,10,180
2003-06-09,41,186
2003-06-10,9,202
2003-06-11,27,199
2003-06-12,10,183
2003-06-13,22,146
2003-06-16,31,0
2003-06-17,18,134
2003-06-18,38,142
2003-06-19,19,138
2003-06-20,12,193
2003-06-23,9,204
2003-06-25,19,196
2003-06-26,10,210
2003-06-27,24,129
2003-06-30,44,144
2003-07-01,24,130
2003-07-02,29,173
2003-07-03,21,127
2003-07-04,11,191
2003-07-07,11,188
2003-07-08,8,196
2003-07-09,19,191
2003-07-10,11,190
2003-07-11,24,117
2003-07-14,31,168
2003-07-15,21,126
2003-07-16,30,166
2003-07-17,15,124
2003-07-18,7,198
2003-07-21,31,204
2003-07-22,8,177
2003-07-23,29,209
2003-07-24,9,181
2003-07-25,19,136
2003-07-28,0,163
2003-07-29,14,130
2003-07-30,10,176
2003-07-31,23,140
2003-08-01,0,179
2003-08-04,16,193
2003-08-05,0,180
2003-08-06,15,191
2003-08-07,0,183
2003-08-08,18,119
2003-08-11,56,165
2003-08-12,144,60
2003-08-13,46,86
2003-08-14,102,136
2003-08-15,124,146
2003-08-18,31,36
2003-08-19,91,55
2003-08-20,118,178
2003-08-21,78,75
2003-08-22,31,109
2003-08-25,133,131
2003-08-26,69,117
2003-08-27,100,131
2003-08-28,26,42
2003-08-29,45,135
2003-09-01,144,91
2003-09-02,121,150
2003-09-03,84,141
2003-09-04,23,174
2003-09-05,45,117
2003-09-08,96,48
2003-09-09,134,150
2003-09-10,36,127
2003-09-11,130,88
2003-09-12,26,98
2003-09-15,75,94
2003-09-16,89,73
2003-09-17,19,46
2003-09-18,22,101
2003-09-19,33,92
2003-09-22,149,136
2003-09-23,42,60
2003-09-24,151,142
2003-09-25,129,145
2003-09-26,91,87
2003-09-29,111,105
2003-09-30,108,69
2003-10-01,133,82
2003-10-02,91,101
2003-10-03,119,88
2003-10-06,82,86
2003-10-07,164,120
2003-10-08,136,45
2003-10-09,116,82
2003-10-10,148,104
2003-10-13,60,116
2003-10-14,115,113
2003-10-15,106,69
2003-10-16,53,169
2003-10-17,95,87
2003-10-20,50,88
2003-10-21,19,154
2003-10-22,69,107
2003-10-23,19,139
2003-10-24,134,88
2003-10-27,38,76
2003-10-28,86,94
2003-10-29,54,128
2003-10-30,47,34
2003-10-31,49,100
2003-11-03,0,150
2003-11-04,31,51
2003-11-05,130,54
2003-11-06,80,56
2003-11-07,0,50
2003-11-10,65,94
2003-11-11,116,55
2003-11-12,17,50
2003-11-13,69,157
2003-11-14,109,131
2003-11-17,72,166
2003-11-18,143,57
2003-11-19,23,12
2003-11-20,65,84
2003-11-21,45,131
2003-11-24,0,108
2003-11-25,35,54
2003-11-26,14,65
2003-11-27,50,96
2003-11-28,44,106
2003-12-01,79,83
2003-12-02,14,148
2003-12-03,52,122
2003-12-04,133,11
2003-12-05,0,18
2003-12-08,39,174
2003-12-09,19,88
2003-12-10,59,105
2003-12-11,116,146
2003-12-12,59,52
2003-12-15,129,56
2003-12-16,81,123
2003-12-17,92,69
2003-12-18,46,59
2003-12-19,0,62
2003-12-22,59,89
2003-12-23,0,31
2003-12-26,0,51
2003-12-29,24,128
2003-12-30,95,45
2003-12-31,36,21
2004-01-01,17,16
2004-01-02,53,106
2004-01-05,20,154
2004-01-06,68,83
2004-01-07,35,144
2004-01-08,131,143
2004-01-09,120,48
2004-01-12,93,35
2004-01-14,67,100
2004-01-15,61,189
2004-01-16,59,119
2004-01-19,57,23
2004-01-20,67,136
2004-01-21,133,30
2004-01-22,106,85
2004-01-23,134,119
2004-01-26,63,96
2004-01-28,145,130
2004-01-29,29,19
2004-01-30,160,35
2004-02-02,18,111
2004-02-03,74,83
2004-02-04,43,13
2004-02-05,17,145
2004-02-06,73,104
2004-02-09,93,120
2004-02-10,103,163
2004-02-11,64,175
2004-02-12,64,67
2004-02-13,49,47
2004-02-16,28,72
2004-02-17,158,57
2004-02-18,46,145
2004-02-19,124,120
2004-02-20,73,91
2004-02-23,175,78
2004-02-24,87,82
2004-02-25,150,88
2004-02-26,113,172
2004-02-27,168,113
2004-03-01,187,47
2004-03-02,107,61
2004-03-03,151,104
2004-03-04,107,86
2004-03-05,113,40
2004-03-08,64,109
2004-03-09,198,42
2004-03-10,209,93
2004-03-11,126,142
2004-03-12,175,133
2004-03-15,180,105
2004-03-16,125,83
2004-03-17,217,86
2004-03-18,83,130
2004-03-19,101,34
2004-03-22,135,80
2004-03-23,143,73
2004-03-24,174,107
2004-03-25,107,45
2004-03-26,183,108
2004-03-29,184,23
2004-03-30,0,56
2004-03-31,109,139
2004-04-01,188,129
2004-04-02,67,86
2004-04-05,117,91
2004-04-06,62,92
2004-04-07,156,94
2004-04-08,154,107
2004-04-09,48,0
2004-04-12,118,42
2004-04-13,148,32
2004-04-14,122,67
2004-04-15,171,117
2004-04-16,145,62
2004-04-19,117,134
2004-04-20,205,107
2004-04-21,157,141
2004-04-22,233,58
2004-04-23,101,152
2004-04-26,172,161
2004-04-27,131,165
2004-04-28,203,72
2004-04-29,174,140
2004-04-30,113,77
2004-05-03,89,40
2004-05-04,39,133
2004-05-05,105,182
2004-05-06,176,137
2004-05-07,225,48
2004-05-10,114,114
2004-05-11,156,68
2004-05-12,169,91
2004-05-13,191,76
2004-05-14,70,141
2004-05-17,148,173
2004-05-18,155,94
2004-05-19,214,183
2004-05-20,229,39
2004-05-21,196,163
2004-05-24,90,120
2004-05-25,88,142
2004-05-26,13,62
2004-05-27,97,127
2004-05-28,197,68
2004-05-31,115,93
2004-06-01,97,65
2004-06-02,124,117
2004-06-03,135,55
2004-06-04,102,81
2004-06-07,127,252
2004-06-08,157,141
2004-06-09,200,0
2004-06-10,151,99
2004-06-11,118,155
2004-06-14,125,72
2004-06-15,247,198
2004-06-16,126,200
2004-06-17,233,268
2004-06-18,260,257
2004-06-21,93,170
2004-06-22,121,97
2004-06-23,62,90
